OBJECTID,COM,NOMBRE,DIRECCION,REGION,PROVINCIA,SUPERFICIE,PROPIEDAD_,DETALLE_PR,ROL,USO_AREA_V,DETALLE_US,AGNO_APERT,COSTO_CONS,FUENTE_FIN,DETALLE_FU,ADMINISTRA,DETALLE_AD,COSTO_ANUA,SUMINISTRO,DETALLE_RI,CONEXION_R,BAÑOS_ASI,BAÑOS_TRA,NIVEL_CONS,TIPO_ACCES,COSTO_INGR,JUEGOS_INF,CANCHA_FUT,MULTICANCH,MAQUINAS_E,ZONA_PICNI,OTROS_EQUI,ESTACIONAM,BAÑO_DISC,RUTA_ACCES,JUEGOS_ACC,OBSERVACIO,Programa,Shape_Length,Shape_Area
11,Calama,PARQUE EL LOA,AVDA O'HIGGINS S/N,2,22,32119.05917217,MUNICIPAL, , ,Sí, ,1980,0,OTRO, ,MUNICIPAL, ,0, , ,Sí,NO HAY,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí, ,Sí,Sí,Sí, ,No,No,No,No, ,Parques Urbanos,1837.02533496079,32119.0591721682
12,Antofagasta,PARQUE JOSE SANTOS OSSA,AVDA EJERCITO SN,2,21,15744.2208951,MUNICIPAL, , ,Sí, ,0,0,MUNICIPAL, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,No,Sí, ,No,No,No,No, ,Parques Urbanos,591.090731049913,15744.220895104
13,Antofagasta,PARQUE LAS ALMEJAS,AV. CROACIA S/N,2,21,24592.53655175,OTRO,CONCESIONES MARÍTIMAS,-,Sí, ,0,0,MUNICIPAL, ,MUNICIPAL, ,0, , ,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No, ,No,No,No,No, ,Parques Urbanos,959.220506534204,24592.5365517532
14,Antofagasta,PARQUE JAPONES,AVDA ANGAMOS/CLUB HIPICO,2,21,6324.14512424,MUNICIPAL, , ,Sí, ,0,0,MIXTO, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No, ,No,No,No,No, ,Parques Urbanos,432.718365770409,6324.14512424229
15,Antofagasta,PARQUE LOS EVENTOS,AVDA PEREZ ZUJOVIC / VENEZUELA / EL COBRE,2,21,30869.03345798,MUNICIPAL, , ,Sí, ,0,0,MIXTO, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No, ,No,No,No, , ,Parques Urbanos,1362.52112087736,30869.0334579787
16,Antofagasta,PASEO DEL MAR,AVDA GRECIA/ROTONDA B MUNICIPAL/PISTELLI,2,21,28909.9817735,OTRO, , ,Sí, ,0,0,MIXTO, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No, ,Sí,No,No,No, ,Parques Urbanos,1585.22915305536,28909.9817735035
17,Antofagasta,PASEO DEL MAR 2,AVDA GRECIA SN,2,21,22525.9702748,OTRO, , ,Sí, ,0,0,OTRO, ,OTRO, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No, ,No,No,Sí,No, ,Parques Urbanos,2082.72072605835,22525.9702748006
18,Antofagasta,PLAZA PABLO NERUDA,AVDA PEREZ ZUJOVIC SN,2,21,23868.52261846,OTRO, , ,No, ,0,0,MIXTO, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,No,No, ,No,No,No, , ,Parques Urbanos,855.305382863696,23868.5226184565
19,Antofagasta,PARQUE LOS PINARES,AVDA PEREZ ZUJOVIC SN,2,21,23847.2600391,OTRO, , ,No, ,0,0,MIXTO, ,MUNICIPAL, ,0,OTRO, ,No,CONSTRUIDOS,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,Sí,Sí,Sí,No, ,No,No,Sí,No, ,Parques Urbanos,968.235346658469,23847.2600391039
20,Antofagasta,PARQUE NICOLAS TIRADO,CALLE LOS PIMIENTOS INTERSECTA CON AVENIDA PEDRO AGUIRRE CERDA,2,21,29242.02309261,MUNICIPAL, , ,Sí, ,0,0,MIXTO, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No, ,Sí,No,No,No, ,Parques Urbanos,1404.22529557386,29242.0230926104
21,Antofagasta,PARQUE SAN MARCOS,AVENIDA PEDRO AGUIRRE CERDA INTERSECTA CON CALLE AGUAS CALIENTES,2,21,15902.33094042,MUNICIPAL, , ,No,ZUDC 04,2013,0,NO CUENTA CON FINANCIAMIENTO, , , ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No, ,No,No,No,No, ,Parques Urbanos,487.739082759271,15902.3309404179
22,Taltal,PLAZA DE ARMAS TALTAL,AVENIDA ARTURO PRAT N°500-598,2,21,16842.11043795,B.N.U.P,NO HAY REGISTRO,no hay registro,Sí, ,2005,0,GORE,no hay registro,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,4 QUIOSCOS,No,No,Sí,No, ,Parques Urbanos,513.144168367035,16842.1104379456
23,Taltal,PLAZA RIQUELME 'EX CAPITANÍA DE PUERTO TALTAL',AVENIDA ESMERALDA N°501-599,2,21,6775.18998548,FISCAL,NO HAY REGISTRO,101-1,Sí, ,2013,0,MINVU,no hay registro,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,1 OFICINA DE TURISMO Y 1 COMERCIO COMIDA RÁPIDA,No,No,Sí,No,"ROL DE AVALÚO 101-1 PARCIALIDAD DEL SITIO, Y OTRA PARCIALIDAD ES FISCAL",Parques Urbanos,402.776164239615,6775.18998547509
24,Calama,PARQUE JOSE SAAVEDRA, ,2,22,6217.14937588, , , , , ,0,0, , , , ,0, , , , , , , ,0, , , , , , , , , , , ,Parques Urbanos,380.429958847842,6217.14937588143
25,Tocopilla,PLAZA CARLOS CONDELL,CALLE 21 DE MAYO INTERSECTA CON CALLE ANIBAL PINTO,2,23,7590.88399061,MUNICIPAL, ,95-005,Sí, ,1930,0,NO CUENTA CON FINANCIAMIENTO,NO HAY REGISTRO,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,CONTIENE UN ODEÓN Y UN ANFITEATRO AL AIRE LIBRE,No,No,Sí,No, ,Parques Urbanos,363.418643969008,7590.88399060555
26,Antofagasta,PARQUE DEPORTIVO Y RECREATIVO JUAN LÓPEZ,CALLE SIERRA NEVADA INTERSECTA CON CALLE PABLO NERUDA,2,21,94942.63491923, , , ,Sí, ,0,0,GORE, , , ,0, , , , , , , ,0, , , , , , , , , , , ,Parques Urbanos,1282.80841566578,94942.634919229
27,Antofagasta,PARQUE VILLA ESPERANZA,CALLE JUAN BOLIVAR INTERSECTA CON AVENIDA CIRCUNVALACIÓN NORTE,2,21,22527.33851437, , , ,No,E10,0,0, , , , ,0, , , , , , , ,0, , , , , , , , , , , ,Parques Urbanos,729.901535200767,22527.3385143744
28,Antofagasta,PARQUE CROACIA,AVENIDA CROACIA INTERSECTA CON CALLE ESPRONCEDA,2,21,24921.75870182, , , ,No,E4C,2017,0, , , , ,0, , , , , , , ,0, , , , , , , , , , , ,Parques Urbanos,787.896235348939,24921.7587018195
29,Diego de Almagro,PLAZA PRESIDENTE SALVADOR ALLENDE, ,3,32,11734.39328926,MUNICIPAL,JUAN MARTINEZ S/N,Plaza AVE 16,Sí, ,2009,0,MOP, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,QUIOSCOS,No,No,Sí,Sí, ,Parques Urbanos,435.392428599571,11734.3932892557
30,Diego de Almagro,QUINTA LOS CHAÑARES,CONTIGUA AL LIMITE URBANO DE DIEGO DE ALMAGRO,3,32,80454.13803519,MUNICIPAL, ,357-2,Sí, ,0,0,MUNICIPAL, ,MUNICIPAL, ,5000000,CAMION ALJIBE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,Sí,SALÓN DE ENTRETENCIÓN,No,No,Sí,Sí,BAÑOS PARA ASISTENTES UTIILIZADOS POR TRABAJADORES,Parques Urbanos,1207.32440317112,80454.1380351904
31,Copiapó,BMADEJÓN AV.HENRIQUEZ,AV.HENRIQUEZ,3,31,8466.03515238,B.N.U.P, , ,No,Z,2017,0,MINVU, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,BANCAS Y CIVLOVÍA,No,No,No,No,MEJORADO DESPUÉS DEL ALUVIÓN 2015,Parques Urbanos,1796.28615178494,8466.03515238379
32,Caldera,BANDEJÓN CENTRAL CHORRILLOS,PLAYA CHORRILOS,3,31,27340.13813676,MUNICIPAL, , ,Sí, ,0,0,MINVU, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,Sí,Sí, ,No,No,Sí,Sí, ,Parques Urbanos,1348.34121327915,27340.1381367568
33,Caldera,PARQUE GRUTA PADRE NEGRO,CANAL BEAGLE -EDWARDS,3,31,8524.64778865,MUNICIPAL, , ,Sí, ,2006,363220000,GORE, ,MUNICIPAL, ,6480000,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,GRUTA,No,No,Sí,No, ,Parques Urbanos,417.880877209087,8524.6477886501
34,Copiapó,EL PRETIL,LUIS FLORES,3,31,96066.04312899,MUNICIPAL, , , , ,0,0, , ,MUNICIPAL, ,0,CANAL, , , ,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,No,No,No,No,Sí,MEDIALUNA,No,No,No,No, ,Parques Urbanos,1332.96563128476,96066.0431289922
35,Huasco,PARQUE HUASCO,IGNACIO CARRERA PINTO S/N,3,33,18706.74471331,MUNICIPAL, ,148-53 LOTE A1,No,EL PRC ESTÁ EN ESTUDIO,2012,0,OTRO,"PRIVADO, EMPRESA GUACOLDA",OTRO,MUNICIPAL Y PRIVADO (EMPRESA GUACOLDA),0,CANAL, ,Sí,CONSTRUIDOS,CONSTRUIDOS,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,No,No,ANFITEATRO,No,No,No,No,ESTE PARQUE SE ENCUENTRA EN ETAPA DE DISEÑO FINANCIADO POR EL GOBIERNO REGIONAL.,Parques Urbanos,611.041223620136,18706.7447133125
36,Tierra Amarilla,PARQUE OJANCOS,CALLE OJANCOS,3,31,35807.34972073, , , , ,NO HAY IPT,0,0, , ,MUNICIPAL, ,0, , , ,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No, , , ,Sí, , , , , , ,Parques Urbanos,1750.86261131483,35807.3497207292
37,Vallenar,PASEO RIVEREÑO,AV. COSTANERA,3,33,151857.89748438,B.N.U.P, , ,No,Z,1994,0,GORE, ,MUNICIPAL, ,0,CANAL, ,Sí,CONSTRUIDOS,PORTATILES,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,Sí,Sí,"CICLOVIAS, SKATE PARK",Sí,No,Sí,Sí, ,Parques Urbanos,6565.3170071767,151857.897484379
38,Copiapó,PARQUE SCHNEIDER,AV. COPAYAPU CON CALLE ESTADIO,3,31,16506.12889632,B.N.U.P, , ,Sí, ,2017,800000000,MINVU, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,PORTATILES,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No,"SKATE PARCK, QUIESKO",No,Sí,Sí,Sí,PARQUE EXISTENTE QUE FUE MEJORADO DESPUÉS DEL ALUVIÓN 2015,Parques Urbanos,503.052967328427,16506.1288963179
39,Copiapó,PLAZA DE ARMAS COPIAPÓ,CALLE COLIPÍ CON CALLE O´HIGGINS,3,31,13657.53438742,B.N.U.P, , ,Sí, ,0,0, , ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,PORTATILES,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,"KIOSKO ORFEÓN, BANCAS, JUEGOS DE MES, FERIA ARTESANAL",No,No,No,No, ,Parques Urbanos,456.850986548031,13657.5343874199
40,Copiapó,PARQUE EL PALOMAR,CALLE EL PARQUE,3,31,11085.17318616,B.N.U.P, , , , ,1998,50000000,MINVU, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,PORTATILES,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No, ,No,No,No,No, ,Parques Urbanos,492.600906777468,11085.1731861554
41,Copiapó,AREA VERDE SIN NOMBRE,PJE. SALITRERA ENCARNACIÓN,3,31,8434.49819714,B.N.U.P, , ,No,"ZB  MIXTA DE VIVIENDA, EQUIP, TALLER",1998,50000000,MINVU, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,PORTATILES,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,VEGETA,No,No,No,No, ,Parques Urbanos,731.238835846796,8434.49819713836
42,Diego de Almagro,PARQUE BANDEJÓN CENTRAL,AV. JUAN MARTÍNEZ DE ROSAS,3,32,22704.1593755,B.N.U.P, , ,Sí, ,0,0,MUNICIPAL, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No, ,No,No,No,No, ,Parques Urbanos,1693.56584551496,22704.1593754952
43,Vallenar,VIVERO MUNICIPAL,ANDRÉS SABALA S/N QUINTA VALLE,3,33,97473.5849825,MUNICIPAL, , ,Sí, ,1920,0,MUNICIPAL,Sin información,MUNICIPAL, ,0,CANAL, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,No,No,Sí,No,Sí,QUINCHO,No,No,No,No, ,Parques Urbanos,1705.67096315669,97473.5849825029
44,Vallenar,PARQUE QUINTA VALLE,CALLE ALMANCAY CON CALLE SERRANO,3,33,11427.75511935,B.N.U.P, ,0,No,Z,2014,800000000,MIXTO,Mu,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,PORTATILES,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,Sí,"QUINCHOS, PERGOLAS, SOMBREADEROS",Sí,No,Sí,Sí, ,Parques Urbanos,432.353896857949,11427.7551193518
45,Andacollo,PASEO BELTRÁN AMENÁBAR ETAPA I,"AVENIDA BELTRÁN AMENÁBAR,ANDACOLLO",4,41,6954.57123193,B.N.U.P, , , , ,0,0, , , , ,0,POZO, ,Sí,NO HAY,NO HAY,CONSOLIDADO, ,0,Sí,No,No,Sí,No, ,Sí,No,Sí,No, ,Parques Urbanos,821.05026709213,6954.57123192666
46,Ovalle,PARQUE LOS PEÑONES OVALLE,RUTAD-55 S/N,4,43,35479.95397842,MUNICIPAL, , ,Sí, ,1968,0,MUNICIPAL, ,MUNICIPAL, ,0,CANAL, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,Sí,NO,Sí,No,Sí,Sí, ,Parques Urbanos,1127.95616670101,35479.9539784188
47,Vicuña, , ,4,41,11729.45803035, , , , , ,0,0, , , , ,0, , , , , , , ,0, , , , , , , , , , , ,Parques Urbanos,1860.64124479962,11729.4580303524
48,Illapel,PARQUE AMBROSIO O'HIGGINS,CALLE BRASIL 0085-A,4,42,11433.49379246,MUNICIPAL, ,300-17,Sí, ,2003,0, , ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No, ,No,Sí,Sí,No, ,Parques Urbanos,428.996814257708,11433.4937924614
49,Illapel,PLAZA DE ARMAS ILLAPEL,CONSTITUCIÓN,4,42,7075.32688352,MUNICIPAL, ,EN TRAMITE,Sí, ,2013,0,GORE, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,CAFETERIA,No,Sí,Sí,No, ,Parques Urbanos,336.552817567489,7075.32688351616
50,Salamanca,PARQUE CERRO HÉROES DE LA CONCEPCIÓN,CALLE TOMAS DAVIS INTERSECTA CON CALLE O´HIGGINS ENTRE CALLE O´HIGGINS Y CALLE MANUEL BULNES,4,42,41208.32869086,MUNICIPAL, , ,Sí, ,0,0,MUNICIPAL, , , ,0, , , , , , , ,0, , , , , , , , , , , ,Parques Urbanos,1185.10104229117,41208.3286908589
51,Combarbalá,ALAMEDA DE COMBARBALÁ,AVENIDA SUR,4,43,10223.07382261,B.N.U.P, ,No hay registro,No,SIN P.R.C.,0,0,MUNICIPAL, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,Sí,No, ,No,No,Sí,Sí, ,Parques Urbanos,981.154483348331,10223.0738226099
52,Combarbalá,PLAZA DE ARMAS DE COMBARBALÁ,SAN CARLOS INTERSECCIÓN MAIPÚ,4,43,8471.16656495,B.N.U.P, ,No hay registro,No,SIN P.R.C,1875,0,MUNICIPAL, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,No,No,No,No,No, ,Sí,No,Sí,No, ,Parques Urbanos,368.264015678361,8471.16656494783
53,Coquimbo, , ,4,41,12438.2073106, , , , , ,0,0, , , , ,0, , , , , , , ,0, , , , , , , , , , , ,Parques Urbanos,467.426944760015,12438.2073106012
54,Andacollo,CAMPING MONTAÑA, ,4,41,9867.90340548,PRIVADO, , ,No,TERRENO HABILITADO COMO CAMPING,2000,0,OTRO,PRIVADOS,PRIVADO, ,0, , ,Sí,CONSTRUIDOS, ,CONSOLIDADO,PAGADO,3.5,Sí,Sí,Sí,No,Sí, ,Sí,Sí,No,No, ,Parques Urbanos,420.995408277532,9867.90340548425
55,La Serena,PLAZA DE ARMAS,"ENTRE CALLES CORDOVEZ Y PRAT, Y CALLES LOS CARRERA Y MATTA",4,41,14503.69019066,B.N.U.P, , ,Sí, ,0,0, , ,MUNICIPAL, ,38664864,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No, ,No,No,Sí,No,EXISTEN BAÑOS PÚBLICOS EN EL ORFEÓN DE LA PLAZA,Parques Urbanos,497.936876040616,14503.6901906623
56,La Serena,PARQUE PEDRO DE VALDIVIA,CALLE BRASIL ESQUINA RUTA 5,4,41,105632.28951308,B.N.U.P, , ,Sí, ,0,0, , ,MUNICIPAL, ,22440000,MIXTO,Pozo y Medidor de Agua Potable,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,No,Sí, ,No,No,No,No, ,Parques Urbanos,1418.12083869342,105632.28951308
57,La Serena,PARQUE BUENAVENTURA OSORIO,CALLE BUENAVANTURA OSORIO ENTRE LARRAÍN ALCALDE Y BENAVENTE,4,41,9711.48045002,B.N.U.P, , ,Sí, ,0,0, , ,MUNICIPAL, ,21318000,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No, ,No,No,No,No, ,Parques Urbanos,685.105050297571,9711.48045001827
58,La Serena,PARQUE GABRIEL COLL,AVENIDA 18 DE SEPTIEMBRE Y JUAN CISTERNAS,4,41,775212.35371103,MUNICIPAL, , ,Sí, ,0,0, , ,MUNICIPAL, ,0,MIXTO,Pozo y Medidor de Agua Potable,Sí,CONSTRUIDOS,CONSTRUIDOS,REGULAR CONSOLIDACION,GRATUITO,0,Sí,Sí,No,No,Sí, ,No,No,No,No, ,Parques Urbanos,6637.1536138262,775212.353711028
